 1 RANKED  8760   HOUR AVERAGE  CONCENTRATION VALUES AT EACH RECEPTOR  

         DSLPM         1     (ug/m**3)    
         (24 hours/day processed)
     RECEPTOR (x,y) km        1 RANK     NLAT_WGS84  ELON_WGS84
 
     520.508  5047.343     1.0252E+01      45.579323 -122.737137
     520.292  5049.909     4.5736E+00      45.602428 -122.739792
     520.310  5049.230     1.2954E+01      45.596317 -122.739594
     519.226  5049.691     6.0886E+00      45.600494 -122.753471
     517.764  5050.460     3.1825E+00      45.607456 -122.772194
     520.586  5048.535     9.2053E+00      45.590054 -122.736084
     520.114  5047.999     2.0832E+01      45.585243 -122.742157
     519.579  5047.728     1.0480E+01      45.582817 -122.749023
     519.980  5048.710     2.0048E+01      45.591644 -122.743843
     519.192  5048.856     1.7556E+01      45.592979 -122.753944
     518.432  5048.612     3.4879E+00      45.590805 -122.763695
     518.010  5047.266     2.1418E+00      45.578701 -122.769157
     523.001  5045.240     4.0221E+00      45.560322 -122.705276
     523.321  5042.796     7.3673E+00      45.538307 -122.701294
     522.636  5041.525     6.0118E+00      45.526890 -122.710129
     522.654  5040.314     2.5384E+00      45.515991 -122.709953
     523.641  5039.870     5.2459E+00      45.511963 -122.697334
     523.038  5039.500     2.6229E+00      45.508652 -122.705070
     522.962  5042.266     2.4178E+01      45.533550 -122.705917
     523.316  5041.870     8.4817E+00      45.529976 -122.701401
